employee_id,doctor_id,first_name,last_name,role,clinic_id,qualification,salary,contact_number,email,,,,
1,1,John,Smith,Physician,1,"MD, Internal Medicine","$200,000.00 ",123-456-7890,john.smith@example.com,,,,
4,2,Jessica,Brown,Physician,2,"MD, Pediatrics","$180,000.00 ",456-789-0123,jessica.brown@example.com,,,,
7,3,Robert,Anderson,Physician,3,"MD, Family Medicine","$190,000.00 ",789-012-3456,robert.anderson@example.com,,,,
10,4,Olivia,Harris,Physician,5,"MD, Dermatology","$220,000.00 ",012-345-6789,olivia.harris@example.com,,,,
12,5,Sophia,Lee,Physician,6,"MD, Cardiology","$210,000.00 ",234-567-8901,sophia.lee@example.com,,,,
15,6,Benjamin,Perez,Physician,7,"MD, Orthopedics","$230,000.00 ",567-890-1234,benjamin.perez@example.com,,,,
18,7,Charlotte,Phillips,Physician,9,"MD, Neurology","$240,000.00 ",890-123-4567,charlotte.phillips@example.com,,,,
20,8,Amelia,Garcia,Physician,10,"MD, Psychiatry","$200,000.00 ",012-345-6789,amelia.garcia@example.com,,,,
23,9,Ryan,Flores,Physician,11,"MD, Ophthalmology","$210,000.00 ",345-678-9012,ryan.flores@example.com,,,,
25,10,Chloe,Watson,Physician,12,"MD, Urology","$220,000.00 ",567-890-1234,chloe.watson@example.com,,,,
27,11,Zoey,Bennett,Physician,13,"MD, Gastroenterology","$230,000.00 ",789-012-3456,zoey.bennett@example.com,,,,
29,12,Mila,Rivera,Physician,14,"MD, Hematology","$240,000.00 ",901-234-5678,mila.rivera@example.com,,,,
31,13,Grayson,Cooper,Physician,15,"MD, Pulmonology","$210,000.00 ",123-456-7890,grayson.cooper@example.com,,,,
34,14,Stella,Wood,Physician,17,"MD, Rheumatology","$220,000.00 ",456-789-0123,stella.wood@example.com,,,,
36,15,Aurora,Cooper,Physician,18,"MD, Infectious Disease","$230,000.00 ",678-901-2345,aurora.cooper@example.com,,,,
38,16,Lily,Perry,Physician,19,"MD, Allergy & Immunology","$220,000.00 ",890-123-4567,lily.perry@example.com,,,,
40,17,Nova,Bryant,Physician,20,"MD, Nephrology","$220,000.00 ",012-345-6789,nova.bryant@example.com,,,,
51,18,Zoe,Hughes,Physician,1,"MD, Obstetrics/Gynecology","$210,000.00 ",567-890-1234,zoe.hughes@example.com,,,,
59,19,Nora,Bennett,Physician,2,"MD, Pediatrics","$180,000.00 ",901-234-5678,nora.bennett@example.com,,,,
63,20,Lucy,Rivera,Physician,3,"MD, Family Medicine","$190,000.00 ",345-678-9012,lucy.rivera@example.com,,,,
67,21,Amelia,Reed,Physician,4,"MD, Dermatology","$220,000.00 ",789-012-3456,amelia.reed@example.com,,,,
71,22,Grace,Simmons,Physician,5,"MD, Cardiology","$210,000.00 ",123-456-7890,grace.simmons@example.com,,,,
75,23,Mateo,Richardson,Physician,6,"MD, Neurology","$220,000.00 ",567-890-1234,mateo.richardson@example.com,,,,
79,24,Luke,Wood,Physician,7,"MD, Pediatrics","$190,000.00 ",901-234-5678,luke.wood@example.com,,,,
83,25,Ezra,Foster,Physician,8,"MD, General Surgery","$200,000.00 ",345-678-9012,ezra.foster@example.com,,,,
87,26,Lincoln,Cox,Physician,9,"MD, Orthopedics","$220,000.00 ",789-012-3456,lincoln.cox@example.com,,,,
91,27,Benjamin,Bennett,Physician,10,"MD, Ophthalmology","$210,000.00 ",123-456-7890,benjamin.bennett@example.com,,,,
95,28,Daniel,Cox,Physician,11,"MD, Urology","$220,000.00 ",567-890-1234,daniel.cox@example.com,,,,
99,29,Oliver,Richardson,Physician,12,"MD, Gastroenterology","$220,000.00 ",901-234-5678,oliver.richardson@example.com,,,,
125,30,Amelia,Foster,Physician,20,"MD, Nephrology","$220,000.00 ",567-890-1234,amelia.foster@example.com,,,,
126,31,Emma,Perez,Physician,1,"MD, Psychiatry","$200,000.00 ",123-456-7890,emma.perez@example.com,,,,
127,32,William,Torres,Physician,2,"MD, Neurology","$210,000.00 ",234-567-8901,william.torres@example.com,,,,
128,33,Emily,Russell,Physician,3,"MD, Pediatrics","$180,000.00 ",345-678-9012,emily.russell@example.com,,,,
129,34,Benjamin,Martinez,Physician,4,"MD, Cardiology","$210,000.00 ",456-789-0123,benjamin.martinez@example.com,,,,
130,35,Amelia,Richardson,Physician,5,"MD, Obstetrics/Gynecology","$220,000.00 ",567-890-1234,amelia.richardson@example.com,,,,
131,36,Daniel,Brooks,Physician,6,"MD, Dermatology","$220,000.00 ",678-901-2345,daniel.brooks@example.com,,,,
132,37,Chloe,Foster,Physician,7,"MD, General Surgery","$200,000.00 ",789-012-3456,chloe.foster@example.com,,,,
133,38,Lily,Cooper,Physician,8,"MD, Ophthalmology","$210,000.00 ",890-123-4567,lily.cooper@example.com,,,,
134,39,Oliver,Griffin,Physician,9,"MD, Urology","$220,000.00 ",901-234-5678,oliver.griffin@example.com,,,,
135,40,Sophia,Hayes,Physician,10,"MD, Gastroenterology","$220,000.00 ",012-345-6789,sophia.hayes@example.com,,,,
136,41,Benjamin,Richardson,Physician,11,"MD, Hematology","$240,000.00 ",123-456-7890,benjamin.richardson@example.com,,,,
137,42,Charlotte,Campbell,Physician,12,"MD, Pulmonology","$210,000.00 ",234-567-8901,charlotte.campbell@example.com,,,,
138,43,Grace,Hayes,Physician,13,"MD, Infectious Disease","$230,000.00 ",345-678-9012,grace.hayes@example.com,,,,
139,44,Oliver,Richardson,Physician,14,"MD, Allergy & Immunology","$220,000.00 ",456-789-0123,oliver.richardson@example.com,,,,
140,45,Luke,Campbell,Physician,15,"MD, Nephrology","$220,000.00 ",567-890-1234,luke.campbell@example.com,,,,
141,46,Mia,Perez,Physician,16,"MD, Psychiatry","$200,000.00 ",123-456-7890,mia.perez@example.com,,,,
142,47,William,Torres,Physician,17,"MD, Neurology","$210,000.00 ",234-567-8901,william.torres@example.com,,,,
143,48,Emily,Russell,Physician,18,"MD, Pediatrics","$180,000.00 ",345-678-9012,emily.russell@example.com,,,,
144,49,Benjamin,Martinez,Physician,19,"MD, Cardiology","$210,000.00 ",456-789-0123,benjamin.martinez@example.com,,,,
145,50,Amelia,Richardson,Physician,20,"MD, Obstetrics/Gynecology","$220,000.00 ",567-890-1234,amelia.richardson@example.com,,,,
146,51,Daniel,Brooks,Physician,21,"MD, Dermatology","$220,000.00 ",678-901-2345,daniel.brooks@example.com,,,,
147,52,Chloe,Foster,Physician,22,"MD, General Surgery","$200,000.00 ",789-012-3456,chloe.foster@example.com,,,,
148,53,Lily,Cooper,Physician,23,"MD, Ophthalmology","$210,000.00 ",890-123-4567,lily.cooper@example.com,,,,
149,54,Oliver,Griffin,Physician,24,"MD, Urology","$220,000.00 ",901-234-5678,oliver.griffin@example.com,,,,
150,55,Sophia,Hayes,Physician,25,"MD, Gastroenterology","$220,000.00 ",012-345-6789,sophia.hayes@example.com,,,,
