employee_id,first_name,last_name,role,clinic_id,qualification,salary,contact_number,email,,,,,,,
1,John,Smith,Physician,1,"MD, Internal Medicine","$200,000.00 ",123-456-7890,john.smith@example.com,,,,,,,
2,Mary,Johnson,Nurse,1,"RN, BSN","$70,000.00 ",234-567-8901,mary.johnson@example.com,,,,,,,
3,David,Williams,Receptionist,1,High school diploma,"$40,000.00 ",345-678-9012,david.williams@example.com,,,,,,,
4,Jessica,Brown,Physician,2,"MD, Pediatrics","$180,000.00 ",456-789-0123,jessica.brown@example.com,,,,,,,
5,Michael,Miller,Nurse,2,LPN,"$60,000.00 ",567-890-1234,michael.miller@example.com,,,,,,,
6,Sarah,Taylor,Nurse,3,"RN, BSN","$70,000.00 ",678-901-2345,sarah.taylor@example.com,,,,,,,
7,Robert,Anderson,Physician,3,"MD, Family Medicine","$190,000.00 ",789-012-3456,robert.anderson@example.com,,,,,,,
8,Emily,Martinez,Nurse,4,"RN, BSN","$65,000.00 ",890-123-4567,emily.martinez@example.com,,,,,,,
9,William,Thompson,Receptionist,4,High school diploma,"$40,000.00 ",901-234-5678,william.thompson@example.com,,,,,,,
10,Olivia,Harris,Physician,5,"MD, Dermatology","$220,000.00 ",012-345-6789,olivia.harris@example.com,,,,,,,
11,Daniel,Lewis,Nurse,5,LPN,"$55,000.00 ",123-456-7890,daniel.lewis@example.com,,,,,,,
12,Sophia,Lee,Physician,6,"MD, Cardiology","$210,000.00 ",234-567-8901,sophia.lee@example.com,,,,,,,
13,Ethan,Walker,Nurse,6,"RN, BSN","$70,000.00 ",345-678-9012,ethan.walker@example.com,,,,,,,
14,Ava,Hall,Receptionist,7,High school diploma,"$40,000.00 ",456-789-0123,ava.hall@example.com,,,,,,,
15,Benjamin,Perez,Physician,7,"MD, Orthopedics","$230,000.00 ",567-890-1234,benjamin.perez@example.com,,,,,,,
16,Mia,Roberts,Nurse,8,LPN,"$60,000.00 ",678-901-2345,mia.roberts@example.com,,,,,,,
17,James,Turner,Nurse,8,"RN, BSN","$75,000.00 ",789-012-3456,james.turner@example.com,,,,,,,
18,Charlotte,Phillips,Physician,9,"MD, Neurology","$240,000.00 ",890-123-4567,charlotte.phillips@example.com,,,,,,,
19,Jacob,Rodriguez,Nurse,9,LPN,"$55,000.00 ",901-234-5678,jacob.rodriguez@example.com,,,,,,,
20,Amelia,Garcia,Physician,10,"MD, Psychiatry","$200,000.00 ",012-345-6789,amelia.garcia@example.com,,,,,,,
21,Logan,Young,Nurse,10,"RN, BSN","$70,000.00 ",123-456-7890,logan.young@example.com,,,,,,,
22,Grace,Scott,Receptionist,11,High school diploma,"$40,000.00 ",234-567-8901,grace.scott@example.com,,,,,,,
23,Ryan,Flores,Physician,11,"MD, Ophthalmology","$210,000.00 ",345-678-9012,ryan.flores@example.com,,,,,,,
24,Harper,King,Nurse,12,LPN,"$60,000.00 ",456-789-0123,harper.king@example.com,,,,,,,
25,Chloe,Watson,Physician,12,"MD, Urology","$220,000.00 ",567-890-1234,chloe.watson@example.com,,,,,,,
26,Elijah,Brooks,Nurse,13,"RN, BSN","$75,000.00 ",678-901-2345,elijah.brooks@example.com,,,,,,,
27,Zoey,Bennett,Physician,13,"MD, Gastroenterology","$230,000.00 ",789-012-3456,zoey.bennett@example.com,,,,,,,
28,Sebastian,Nelson,Nurse,14,LPN,"$55,000.00 ",890-123-4567,sebastian.nelson@example.com,,,,,,,
29,Mila,Rivera,Physician,14,"MD, Hematology","$240,000.00 ",901-234-5678,mila.rivera@example.com,,,,,,,
30,Avery,Campbell,Nurse,15,"RN, BSN","$70,000.00 ",012-345-6789,avery.campbell@example.com,,,,,,,
31,Grayson,Cooper,Physician,15,"MD, Pulmonology","$210,000.00 ",123-456-7890,grayson.cooper@example.com,,,,,,,
32,Luna,Richardson,Nurse,16,LPN,"$60,000.00 ",234-567-8901,luna.richardson@example.com,,,,,,,
33,Oliver,Cox,Receptionist,16,High school diploma,"$40,000.00 ",345-678-9012,oliver.cox@example.com,,,,,,,
34,Stella,Wood,Physician,17,"MD, Rheumatology","$220,000.00 ",456-789-0123,stella.wood@example.com,,,,,,,
35,Leo,Bailey,Nurse,17,"RN, BSN","$70,000.00 ",567-890-1234,leo.bailey@example.com,,,,,,,
36,Aurora,Cooper,Physician,18,"MD, Infectious Disease","$230,000.00 ",678-901-2345,aurora.cooper@example.com,,,,,,,
37,Levi,Reed,Nurse,18,LPN,"$55,000.00 ",789-012-3456,levi.reed@example.com,,,,,,,
38,Lily,Perry,Physician,19,"MD, Allergy & Immunology","$220,000.00 ",890-123-4567,lily.perry@example.com,,,,,,,
39,Lucas,Hayes,Nurse,19,"RN, BSN","$70,000.00 ",901-234-5678,lucas.hayes@example.com,,,,,,,
40,Nova,Bryant,Physician,20,"MD, Nephrology","$220,000.00 ",012-345-6789,nova.bryant@example.com,,,,,,,
41,Eli,Russell,Nurse,20,LPN,"$55,000.00 ",123-456-7890,eli.russell@example.com,,,,,,,
42,Isla,Jenkins,Receptionist,21,High school diploma,"$40,000.00 ",234-567-8901,isla.jenkins@example.com,,,,,,,
43,Henry,Griffin,Physician,21,"MD, Endocrinology","$220,000.00 ",345-678-9012,henry.griffin@example.com,,,,,,,
44,Penelope,Hayes,Nurse,22,"RN, BSN","$70,000.00 ",456-789-0123,penelope.hayes@example.com,,,,,,,
45,Finn,Simmons,Physician,22,"MD, Otolaryngology","$230,000.00 ",567-890-1234,finn.simmons@example.com,,,,,,,
46,Ruby,Scott,Nurse,23,LPN,"$55,000.00 ",678-901-2345,ruby.scott@example.com,,,,,,,
47,Jack,Bennett,Physician,23,"MD, Psychiatry","$220,000.00 ",789-012-3456,jack.bennett@example.com,,,,,,,
48,Clara,Foster,Nurse,24,"RN, BSN","$70,000.00 ",890-123-4567,clara.foster@example.com,,,,,,,
49,Theodore,Murphy,Physician,24,"MD, Radiology","$240,000.00 ",901-234-5678,theodore.murphy@example.com,,,,,,,
50,Hazel,Richardson,Nurse,25,LPN,"$60,000.00 ",012-345-6789,hazel.richardson@example.com,,,,,,,
51,Liam,Evans,Physician,1,"MD, General Practice","$190,000.00 ",123-456-7890,liam.evans@example.com,,,,,,,
52,Evelyn,Torres,Nurse,1,"RN, BSN","$70,000.00 ",234-567-8901,evelyn.torres@example.com,,,,,,,
53,Mason,Russell,Nurse,1,LPN,"$55,000.00 ",345-678-9012,mason.russell@example.com,,,,,,,
54,Harper,Martinez,Receptionist,1,High school diploma,"$40,000.00 ",456-789-0123,harper.martinez@example.com,,,,,,,
55,Zoe,Hughes,Physician,1,"MD, Obstetrics/Gynecology","$210,000.00 ",567-890-1234,zoe.hughes@example.com,,,,,,,
56,Sebastian,Bailey,Nurse,2,"RN, BSN","$70,000.00 ",678-901-2345,sebastian.bailey@example.com,,,,,,,
57,Audrey,Cooper,Nurse,2,LPN,"$55,000.00 ",789-012-3456,audrey.cooper@example.com,,,,,,,
58,Bentley,Reed,Receptionist,2,High school diploma,"$40,000.00 ",890-123-4567,bentley.reed@example.com,,,,,,,
59,Nora,Bennett,Physician,2,"MD, Pediatrics","$180,000.00 ",901-234-5678,nora.bennett@example.com,,,,,,,
60,Eli,Campbell,Nurse,3,"RN, BSN","$70,000.00 ",012-345-6789,eli.campbell@example.com,,,,,,,
61,Chloe,Ross,Nurse,3,LPN,"$55,000.00 ",123-456-7890,chloe.ross@example.com,,,,,,,
62,Lincoln,Phillips,Receptionist,3,High school diploma,"$40,000.00 ",234-567-8901,lincoln.phillips@example.com,,,,,,,
63,Lucy,Rivera,Physician,3,"MD, Family Medicine","$190,000.00 ",345-678-9012,lucy.rivera@example.com,,,,,,,
64,Jackson,Campbell,Nurse,4,"RN, BSN","$70,000.00 ",456-789-0123,jackson.campbell@example.com,,,,,,,
65,Penelope,Hayes,Nurse,4,LPN,"$55,000.00 ",567-890-1234,penelope.hayes@example.com,,,,,,,
66,William,Perry,Receptionist,4,High school diploma,"$40,000.00 ",678-901-2345,william.perry@example.com,,,,,,,
67,Amelia,Reed,Physician,4,"MD, Dermatology","$220,000.00 ",789-012-3456,amelia.reed@example.com,,,,,,,
68,Oliver,Foster,Nurse,5,"RN, BSN","$70,000.00 ",890-123-4567,oliver.foster@example.com,,,,,,,
69,Lily,Murphy,Nurse,5,LPN,"$55,000.00 ",901-234-5678,lily.murphy@example.com,,,,,,,
70,Elijah,Bennett,Receptionist,5,High school diploma,"$40,000.00 ",012-345-6789,elijah.bennett@example.com,,,,,,,
71,Grace,Simmons,Physician,5,"MD, Cardiology","$210,000.00 ",123-456-7890,grace.simmons@example.com,,,,,,,
72,Mia,Wood,Nurse,6,"RN, BSN","$70,000.00 ",234-567-8901,mia.wood@example.com,,,,,,,
73,Grayson,Bryant,Nurse,6,LPN,"$55,000.00 ",345-678-9012,grayson.bryant@example.com,,,,,,,
74,Emilia,Hayes,Receptionist,6,High school diploma,"$40,000.00 ",456-789-0123,emilia.hayes@example.com,,,,,,,
75,Mateo,Richardson,Physician,6,"MD, Neurology","$220,000.00 ",567-890-1234,mateo.richardson@example.com,,,,,,,
76,Scarlett,Cox,Nurse,7,"RN, BSN","$70,000.00 ",678-901-2345,scarlett.cox@example.com,,,,,,,
77,Daniel,Murphy,Nurse,7,LPN,"$55,000.00 ",789-012-3456,daniel.murphy@example.com,,,,,,,
78,Evelyn,Perry,Receptionist,7,High school diploma,"$40,000.00 ",890-123-4567,evelyn.perry@example.com,,,,,,,
79,Luke,Wood,Physician,7,"MD, Pediatrics","$190,000.00 ",901-234-5678,luke.wood@example.com,,,,,,,
80,Aria,Griffin,Nurse,8,"RN, BSN","$70,000.00 ",012-345-6789,aria.griffin@example.com,,,,,,,
81,Hudson,Hayes,Nurse,8,LPN,"$55,000.00 ",123-456-7890,hudson.hayes@example.com,,,,,,,
